========================================
       DATABASE CONTENTS SUMMARY
========================================

[ADMINS] Total: 1
 - ID: 1 | User: admin

[DRIVERS] Total: 1000
 - First 5 drivers:
   * D001: John Doe
   * D002: Alice Smith
   * D003: Bob Johnson
   * D004: Charlie Brown
   * D005: David Wilson

[DRIVER DATA] Total Data Points: 81
Time       | DriverID   | Speed    | Accel  | Brake  | Risk  | Pred      
--------------------------------------------------------------------------------
22:20:34   | 969        | 48.7     | 2.8    | 1.6    | 0.0   | SAFE      
22:20:34   | 828        | 82.2     | 6.1    | 7.9    | 81.0  | AGGRESSIVE
22:20:34   | 68         | 43.0     | 2.1    | 2.1    | 15.0  | SAFE      
22:20:34   | 813        | 94.2     | 6.8    | 9.5    | 71.0  | AGGRESSIVE
22:20:34   | 982        | 97.7     | 9.7    | 9.7    | 73.0  | AGGRESSIVE
22:20:34   | 191        | 66.0     | 5.4    | 5.0    | 63.0  | MODERATE  
22:20:34   | 610        | 74.8     | 3.3    | 3.4    | 49.0  | MODERATE  
22:20:34   | 134        | 110.2    | 8.1    | 7.4    | 90.0  | AGGRESSIVE
22:20:34   | 653        | 117.7    | 8.0    | 9.8    | 99.0  | AGGRESSIVE
22:20:34   | 746        | 72.6     | 3.6    | 3.3    | 36.0  | MODERATE  
22:19:15   | 23         | 22.0     | 1.1    | 0.2    | 18.0  | SAFE      
22:15:46   | 2          | 65.6     | 5.4    | 4.0    | 56.0  | MODERATE  
22:15:46   | 2          | 55.5     | 2.1    | 1.9    | 22.0  | SAFE      
22:15:46   | 5          | 67.3     | 4.5    | 5.2    | 33.0  | MODERATE  
22:15:46   | 2          | 57.8     | 2.9    | 2.1    | 17.0  | SAFE      
22:15:46   | 6          | 58.5     | 1.0    | 2.6    | 2.0   | SAFE      
22:15:46   | 3          | 65.6     | 5.9    | 5.3    | 41.0  | MODERATE  
22:15:46   | 1          | 73.2     | 4.0    | 5.5    | 53.0  | MODERATE  
22:15:46   | 2          | 53.5     | 1.4    | 1.9    | 25.0  | SAFE      
22:15:46   | 6          | 62.1     | 3.5    | 3.4    | 38.0  | MODERATE  
22:15:46   | 5          | 84.0     | 6.5    | 6.8    | 97.0  | AGGRESSIVE
22:15:35   | 4          | 43.8     | 2.2    | 1.2    | 26.0  | SAFE      
22:15:35   | 5          | 115.6    | 8.9    | 9.7    | 74.0  | AGGRESSIVE
22:15:35   | 3          | 79.5     | 5.3    | 5.2    | 44.0  | MODERATE  
22:15:35   | 3          | 68.6     | 4.0    | 3.1    | 32.0  | MODERATE  
22:15:35   | 1          | 87.5     | 6.2    | 8.5    | 79.0  | AGGRESSIVE
22:15:35   | 1          | 65.5     | 3.8    | 3.2    | 66.0  | MODERATE  
22:15:35   | 2          | 44.9     | 2.0    | 2.4    | 0.0   | SAFE      
22:15:35   | 4          | 53.4     | 1.4    | 2.3    | 13.0  | SAFE      
22:15:35   | 1          | 86.2     | 8.7    | 8.7    | 73.0  | AGGRESSIVE
22:15:35   | 1          | 86.3     | 7.7    | 6.4    | 80.0  | AGGRESSIVE
22:13:25   | 1          | 104.5    | 9.5    | 8.7    | 76.0  | AGGRESSIVE
22:13:25   | 1          | 50.5     | 2.1    | 1.5    | 27.0  | SAFE      
22:13:25   | 1          | 63.3     | 3.6    | 3.5    | 46.0  | MODERATE  
22:13:25   | 1          | 116.9    | 6.6    | 8.7    | 91.0  | AGGRESSIVE
22:13:25   | 1          | 41.6     | 2.8    | 2.4    | 8.0   | SAFE      
22:13:25   | 1          | 75.2     | 4.5    | 5.5    | 33.0  | MODERATE  
22:13:25   | 1          | 57.9     | 3.0    | 2.4    | 21.0  | SAFE      
22:13:25   | 1          | 80.2     | 9.9    | 8.2    | 99.0  | AGGRESSIVE
22:13:25   | 1          | 59.0     | 2.1    | 1.4    | 8.0   | SAFE      
22:13:25   | 1          | 69.6     | 5.5    | 3.3    | 70.0  | MODERATE  
22:13:23   | 1          | 117.7    | 9.2    | 7.1    | 72.0  | AGGRESSIVE
22:13:23   | 1          | 52.0     | 1.7    | 1.8    | 0.0   | SAFE      
22:13:23   | 1          | 56.1     | 1.5    | 1.6    | 6.0   | SAFE      
22:13:23   | 1          | 66.8     | 4.6    | 5.6    | 39.0  | MODERATE  
22:13:23   | 1          | 97.2     | 6.8    | 8.6    | 77.0  | AGGRESSIVE
22:13:23   | 1          | 73.8     | 3.3    | 5.6    | 60.0  | MODERATE  
22:13:23   | 1          | 91.8     | 8.1    | 8.8    | 88.0  | AGGRESSIVE
22:13:23   | 1          | 64.7     | 4.1    | 5.6    | 69.0  | MODERATE  
22:13:23   | 1          | 73.0     | 3.2    | 4.6    | 66.0  | MODERATE  
22:13:23   | 1          | 116.9    | 9.1    | 8.0    | 81.0  | AGGRESSIVE
